2016-07-08 08:49:26, IIS重启
2016-07-08 08:53:00, 运行时间【2016/7/8 8:53:00】,耗时【136ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:53:05, 运行时间【2016/7/8 8:53:05】,耗时【13ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:53:10, 运行时间【2016/7/8 8:53:10】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:53:15, 运行时间【2016/7/8 8:53:15】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:53:20, 运行时间【2016/7/8 8:53:20】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:53:25, 运行时间【2016/7/8 8:53:25】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:53:30, 运行时间【2016/7/8 8:53:30】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:53:35, 运行时间【2016/7/8 8:53:35】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:55:20, IIS重启
2016-07-08 08:55:21, ShopQuartz job【fistJob】重启
2016-07-08 08:55:22, 运行时间【2016/7/8 8:55:22】,耗时【1451ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:55:25, 运行时间【2016/7/8 8:55:25】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:55:30, 运行时间【2016/7/8 8:55:30】,耗时【3ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:55:35, 运行时间【2016/7/8 8:55:35】,耗时【6ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:55:40, 运行时间【2016/7/8 8:55:40】,耗时【5ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:55:45, 运行时间【2016/7/8 8:55:45】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:55:50, 运行时间【2016/7/8 8:55:50】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:55:55, 运行时间【2016/7/8 8:55:55】,耗时【4ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:00, 运行时间【2016/7/8 8:56:00】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
2016-07-08 08:56:05, 运行时间【2016/7/8 8:56:05】,耗时【1ms】,job名称【fistJob】jobURL【http://10.10.10.153:8005/Default.aspx】正常运行;
